t	dx	dy	dz	da	db	dc	
0.0095	1.00007	-5.87213e-07	1.65975e-11	3.04308e-08	1.99948	0.00047619	
0.00955	1.00007	-5.90394e-07	1.68701e-11	3.05956e-08	1.99948	0.000478721	
0.0096	1.00007	-5.93575e-07	1.71457e-11	3.07605e-08	1.99948	0.000481252	
0.00965	1.00007	-5.96755e-07	1.74242e-11	3.09253e-08	1.99948	0.000483783	
0.0097	1.00007	-5.99936e-07	1.77057e-11	3.10902e-08	1.99948	0.000486314	
0.00975	1.00007	-6.03117e-07	1.79901e-11	3.1255e-08	1.99948	0.000488845	
0.0098	1.00007	-6.06298e-07	1.82776e-11	3.14198e-08	1.99948	0.000491376	
0.00985	1.00007	-6.09479e-07	1.8568e-11	3.15847e-08	1.99948	0.000493907	
0.0099	1.00007	-6.1266e-07	1.88615e-11	3.17495e-08	1.99948	0.000496438	
0.00995	1.00007	-6.1584e-07	1.91581e-11	3.19143e-08	1.99948	0.000498969	
0.01	1.00007	-6.19021e-07	1.94577e-11	3.20792e-08	1.99948	0.0005015	
0.01005	1.00007	-6.22202e-07	1.97603e-11	3.2244e-08	1.99948	0.000504032	
0.0101	1.00007	-6.25383e-07	2.00661e-11	3.24089e-08	1.99948	0.000506563	
0.01015	1.00007	-6.28564e-07	2.0375e-11	3.25737e-08	1.99948	0.000509094	
0.0102	1.00007	-6.31744e-07	2.06869e-11	3.27385e-08	1.99948	0.000511625	
0.01025	1.00007	-6.34925e-07	2.10021e-11	3.29034e-08	1.99948	0.000514156	
0.0103	1.00007	-6.38106e-07	2.13203e-11	3.30682e-08	1.99948	0.000516687	
0.01035	1.00007	-6.41287e-07	2.16418e-11	3.3233e-08	1.99948	0.000519218	
0.0104	1.00007	-6.44467e-07	2.19664e-11	3.33979e-08	1.99948	0.000521749	
0.01045	1.00007	-6.47648e-07	2.22942e-11	3.35627e-08	1.99948	0.00052428	
0.0105	1.00007	-6.50829e-07	2.26252e-11	3.37275e-08	1.99948	0.000526811	
0.01055	1.00007	-6.54009e-07	2.29595e-11	3.38924e-08	1.99948	0.000529342	
0.0106	1.00007	-6.5719e-07	2.3297e-11	3.40572e-08	1.99948	0.000531873	
0.01065	1.00007	-6.60371e-07	2.36377e-11	3.4222e-08	1.99948	0.000534404	
0.0107	1.00007	-6.63552e-07	2.39817e-11	3.43869e-08	1.99948	0.000536934	
0.01075	1.00007	-6.66732e-07	2.43291e-11	3.45517e-08	1.99948	0.000539465	
0.0108	1.00007	-6.69913e-07	2.46797e-11	3.47165e-08	1.99948	0.000541996	
0.01085	1.00007	-6.73094e-07	2.50336e-11	3.48813e-08	1.99948	0.000544527	
0.0109	1.00007	-6.76274e-07	2.53909e-11	3.50462e-08	1.99948	0.000547058	
0.01095	1.00007	-6.79455e-07	2.57516e-11	3.5211e-08	1.99948	0.000549589	
