t	X	z11	Z	dz11	dZ	
5.52	9.34606e-18	-0.00383886	-0.00383886	-0.00382448	-0.00382448	
5.53	3.57103e-17	-0.00384322	-0.00384322	-0.00489958	-0.00489958	
5.54	2.22514e-17	-0.00384866	-0.00384866	-0.00597751	-0.00597751	
5.55	4.2214e-17	-0.00385518	-0.00385518	-0.00705784	-0.00705784	
5.56	2.0478e-17	-0.00386278	-0.00386278	-0.00814013	-0.00814013	
5.57	4.02753e-17	-0.00387146	-0.00387146	-0.00922395	-0.00922395	
5.58	1.81489e-17	-0.00388122	-0.00388122	-0.0103089	-0.0103089	
5.59	3.75972e-17	-0.00389208	-0.00389208	-0.0113945	-0.0113945	
5.6	1.03816e-17	-0.00390401	-0.00390401	-0.0124803	-0.0124803	
5.61	3.42509e-17	-0.00391704	-0.00391704	-0.0135659	-0.0135659	
5.62	2.17019e-17	-0.00393115	-0.00393115	-0.0146509	-0.0146509	
5.63	3.1264e-17	-0.00394634	-0.00394634	-0.0157348	-0.0157348	
5.64	2.62882e-17	-0.00396261	-0.00396261	-0.0168171	-0.0168171	
5.65	3.62055e-17	-0.00397997	-0.00397997	-0.0178976	-0.0178976	
5.66	1.1277e-17	-0.00399841	-0.00399841	-0.0189757	-0.0189757	
5.67	3.82613e-17	-0.00401792	-0.00401792	-0.020051	-0.020051	
5.68	1.53428e-17	-0.00403851	-0.00403851	-0.021123	-0.021123	
5.69	4.22082e-17	-0.00406017	-0.00406017	-0.0221914	-0.0221914	
5.7	1.45882e-17	-0.00408289	-0.00408289	-0.0232557	-0.0232557	
5.71	3.42774e-17	-0.00410667	-0.00410667	-0.0243155	-0.0243155	
5.72	2.41536e-17	-0.00413152	-0.00413152	-0.0253703	-0.0253703	
5.73	3.91921e-17	-0.00415741	-0.00415741	-0.0264198	-0.0264198	
5.74	1.4732e-17	-0.00418435	-0.00418435	-0.0274635	-0.0274635	
5.75	3.52419e-17	-0.00421234	-0.00421234	-0.028501	-0.028501	
5.76	1.96126e-17	-0.00424135	-0.00424135	-0.0295319	-0.0295319	
5.77	3.53869e-17	-0.0042714	-0.0042714	-0.0305558	-0.0305558	
5.78	1.98294e-17	-0.00430246	-0.00430246	-0.0315723	-0.0315723	
5.79	3.37536e-17	-0.00433454	-0.00433454	-0.0325809	-0.0325809	
5.8	2.723e-17	-0.00436762	-0.00436762	-0.0335812	-0.0335812	
5.81	3.48767e-17	-0.0044017	-0.0044017	-0.0345729	-0.0345729	
5.82	2.5405e-17	-0.00443676	-0.00443676	-0.0355556	-0.0355556	
5.83	3.24586e-17	-0.0044728	-0.0044728	-0.0365288	-0.0365288	
5.84	2.72398e-17	-0.00450981	-0.00450981	-0.0374922	-0.0374922	
5.85	2.69973e-17	-0.00454778	-0.00454778	-0.0384455	-0.0384455	
5.86	3.46713e-17	-0.0045867	-0.0045867	-0.0393881	-0.0393881	
5.87	2.6925e-17	-0.00462655	-0.00462655	-0.0403197	-0.0403197	
5.88	3.59335e-17	-0.00466733	-0.00466733	-0.04124	-0.04124	
5.89	1.24132e-17	-0.00470903	-0.00470903	-0.0421486	-0.0421486	
5.9	3.31714e-17	-0.00475162	-0.00475162	-0.0430452	-0.0430452	
5.91	2.35586e-17	-0.00479511	-0.00479511	-0.0439292	-0.0439292	
5.92	3.51075e-17	-0.00483948	-0.00483948	-0.0448006	-0.0448006	
5.93	2.6973e-17	-0.00488471	-0.00488471	-0.0456588	-0.0456588	
5.94	2.99132e-17	-0.00493079	-0.00493079	-0.0465035	-0.0465035	
5.95	2.32828e-17	-0.00497771	-0.00497771	-0.0473344	-0.0473344	
5.96	2.98693e-17	-0.00502545	-0.00502545	-0.0481511	-0.0481511	
5.97	2.22631e-17	-0.005074	-0.005074	-0.0489534	-0.0489534	
5.98	3.04401e-17	-0.00512335	-0.00512335	-0.0497409	-0.0497409	
5.99	1.55108e-17	-0.00517347	-0.00517347	-0.0505133	-0.0505133	
6	3.0644e-17	-0.00522437	-0.00522437	-0.0512702	-0.0512702	
