t	theta1	theta2	psi	y	z	dtheta1	dtheta2	dpsi	ddtheta1	ddtheta2	ddpsi	Fsb12	Fsb13	Fb1b22	Fb1b23	Fb2d2	Fb2d3	Fsd3	
0.18	1.07413	0.152678	-0.216009	2.07863	-0.183891	0.307883	0.355692	-2.36656	2.88951	0.653535	-12.001	0	0	0	0	0	0	0	
0.18	1.07412	0.152683	-0.216015	2.07864	-0.183889	0.307858	0.355707	-2.36669	2.88957	0.653444	-12.0021	0	0	0	0	0	0	0	
0.182	1.07474	0.153395	-0.220748	2.07643	-0.185097	0.313637	0.357014	-2.3907	2.94749	0.5968	-11.9248	0	0	0	0	0	0	0	
0.183	1.07506	0.153753	-0.223169	2.07528	-0.185723	0.316657	0.35754	-2.40252	2.97732	0.567905	-11.8823	0	0	0	0	0	0	0	
0.188	1.07668	0.155545	-0.235326	2.0695	-0.188879	0.331932	0.360008	-2.46133	3.13043	0.420347	-11.6599	0	0	0	0	0	0	0	
0.188889	1.07698	0.155861	-0.237513	2.06845	-0.189454	0.334745	0.360359	-2.47157	3.15846	0.393576	-11.6166	0	0	0	0	0	0	0	
0.19	1.07736	0.156262	-0.240268	2.06713	-0.190177	0.338273	0.360779	-2.48446	3.19398	0.359705	-11.562	0	0	0	0	0	0	0	
0.19	1.07735	0.156268	-0.240275	2.06713	-0.190175	0.338247	0.360793	-2.48461	3.19411	0.359559	-11.563	0	0	0	0	0	0	0	
0.192	1.07803	0.15699	-0.245244	2.06474	-0.191481	0.344636	0.361512	-2.50774	3.25886	0.297997	-11.4624	0	0	0	0	0	0	0	
0.193	1.07838	0.157352	-0.247781	2.0635	-0.192156	0.347975	0.361733	-2.51908	3.29202	0.266739	-11.4075	0	0	0	0	0	0	0	
0.198	1.08016	0.159161	-0.260514	2.05728	-0.195556	0.364864	0.362667	-2.57535	3.46139	0.1079	-11.1205	0	0	0	0	0	0	0	
0.198889	1.08049	0.159479	-0.2628	2.05615	-0.196173	0.367972	0.362742	-2.58508	3.49214	0.0792962	-11.0652	0	0	0	0	0	0	0	
0.2	1.08091	0.159882	-0.265681	2.05473	-0.19695	0.371873	0.36281	-2.59735	3.5311	0.043129	-10.9951	0	0	0	0	0	0	0	
0.2	1.0809	0.159889	-0.265691	2.05473	-0.19695	0.371849	0.362822	-2.59752	3.53129	0.0429171	-10.9958	0	0	0	0	0	0	0	
0.202	1.08164	0.160614	-0.270886	2.05216	-0.198353	0.378912	0.362908	-2.61952	3.60207	-0.0226302	-10.8665	0	0	0	0	0	0	0	
0.203	1.08203	0.160977	-0.273533	2.05084	-0.199077	0.382602	0.362804	-2.63022	3.6381	-0.0557167	-10.7967	0	0	0	0	0	0	0	
0.208	1.08399	0.162787	-0.286812	2.04417	-0.202717	0.401254	0.362106	-2.68324	3.8209	-0.222823	-10.4317	0	0	0	0	0	0	0	
0.208889	1.08436	0.163104	-0.289192	2.04297	-0.203375	0.40468	0.361889	-2.69234	3.85377	-0.25264	-10.362	0	0	0	0	0	0	0	
0.21	1.08481	0.163507	-0.292191	2.04145	-0.204205	0.408984	0.361587	-2.70382	3.89537	-0.290303	-10.2733	0	0	0	0	0	0	0	
0.21	1.0848	0.163514	-0.292204	2.04145	-0.204207	0.408964	0.361595	-2.70401	3.89566	-0.290591	-10.2737	0	0	0	0	0	0	0	
0.212	1.08562	0.164237	-0.297612	2.0387	-0.205705	0.416756	0.361014	-2.72456	3.97096	-0.358603	-10.1104	0	0	0	0	0	0	0	
0.213	1.08604	0.164597	-0.300363	2.03729	-0.206476	0.420821	0.36057	-2.73447	4.00899	-0.392681	-10.023	0	0	0	0	0	0	0	
0.218	1.0882	0.166392	-0.314152	2.03021	-0.210347	0.441348	0.358179	-2.78338	4.20044	-0.563468	-9.56718	0	0	0	0	0	0	0	
0.218889	1.0886	0.166704	-0.316618	2.02893	-0.211044	0.445107	0.357664	-2.7917	4.23448	-0.59359	-9.48111	0	0	0	0	0	0	0	
0.22	1.0891	0.167102	-0.319728	2.02732	-0.211925	0.449836	0.356982	-2.80219	4.27747	-0.631582	-9.37117	0	0	0	0	0	0	0	
0.22	1.08909	0.167109	-0.319744	2.02731	-0.211929	0.449822	0.356984	-2.8024	4.27785	-0.631951	-9.37107	0	0	0	0	0	0	0	
0.222	1.08999	0.167823	-0.325349	2.0244	-0.213519	0.458378	0.35572	-2.82114	4.35531	-0.700241	-9.16899	0	0	0	0	0	0	0	
0.223	1.09046	0.168177	-0.328193	2.02291	-0.214333	0.46283	0.354934	-2.83006	4.39406	-0.734135	-9.06177	0	0	0	0	0	0	0	
0.228	1.09283	0.16994	-0.342447	2.01543	-0.218421	0.485285	0.350845	-2.87391	4.58723	-0.902324	-8.50519	0	0	0	0	0	0	0	
0.228889	1.09327	0.170246	-0.34499	2.01409	-0.219154	0.489381	0.350034	-2.88126	4.62107	-0.931554	-8.40127	0	0	0	0	0	0	0	
0.23	1.09382	0.170635	-0.348198	2.01239	-0.220081	0.49454	0.348977	-2.89054	4.66372	-0.968333	-8.26821	0	0	0	0	0	0	0	
0.23	1.09381	0.170642	-0.348219	2.01237	-0.220088	0.494536	0.34897	-2.89076	4.66419	-0.968777	-8.26742	0	0	0	0	0	0	0	
