t	ddtheta1	ddtheta2	ddpsi	ddy	ddz	
2.43556	-9.4932	2.48791	-6.27471	-7.94593	-4.34088	
2.44	-9.48737	2.51669	-6.5642	-8.2709	-4.51841	
2.44	-9.48306	2.52386	-6.6011	-8.30822	-4.5388	
2.448	-9.47054	2.57499	-7.0805	-8.80609	-4.81079	
2.452	-9.46302	2.60424	-7.28759	-8.991	-4.9118	
2.472	-9.42813	2.72747	-8.15227	-9.60161	-5.24539	
2.47556	-9.42273	2.74061	-8.2642	-9.65729	-5.2758	
2.48	-9.4167	2.76337	-8.40407	-9.69656	-5.29726	
2.48	-9.41612	2.77139	-8.41715	-9.68409	-5.29044	
2.488	-9.40704	2.80466	-8.63922	-9.70241	-5.30045	
2.492	-9.40178	2.81786	-8.7266	-9.67686	-5.28649	
2.512	-9.39039	2.84755	-9.0621	-9.40088	-5.13572	
2.51556	-9.38933	2.84415	-9.10245	-9.33685	-5.10074	
2.52	-9.39024	2.84099	-9.14566	-9.23429	-5.04471	
2.52	-9.39161	2.84461	-9.14536	-9.21777	-5.03569	
2.528	-9.39704	2.83204	-9.20824	-9.01557	-4.92523	
2.532	-9.39804	2.82131	-9.22785	-8.90627	-4.86552	
2.552	-9.42163	2.74235	-9.2796	-8.32413	-4.54749	
2.55556	-9.42719	2.72363	-9.28139	-8.22016	-4.49069	
2.56	-9.43465	2.69886	-9.27901	-8.08588	-4.41734	
2.56	-9.43481	2.69914	-9.27716	-8.08128	-4.41482	
2.568	-9.45189	2.65099	-9.26702	-7.83929	-4.28263	
2.572	-9.45763	2.62426	-9.25741	-7.72217	-4.21864	
2.592	-9.50181	2.48079	-9.19317	-7.15129	-3.90677	
