t	xWAG	bWAG	
0.409692	0.00258994	-0.00209269	
0.41	0.00258994	-0.00209269	
0.41	0.00258994	-0.00209269	
0.41	0.00258994	-0.00209269	
0.412	0.00258994	-0.00209269	
0.413	0.00258994	-0.00209268	
0.418	0.00258994	-0.00209268	
0.418889	0.00258994	-0.00209268	
0.42	0.00258994	-0.00209268	
0.42	0.00258994	-0.00209268	
0.42	0.00258994	-0.00209268	
0.422	0.00258994	-0.00209268	
0.423	0.00258994	-0.00209268	
0.428	0.00258994	-0.00209268	
0.428889	0.00258994	-0.00209268	
0.43	0.00258994	-0.00209268	
0.43	0.00258994	-0.00209268	
0.421445	0.00258994	-0.00209268	
0.422168	0.00258994	-0.00209268	
0.42578	0.00258994	-0.00209268	
0.426423	0.00258994	-0.00209268	
0.427226	0.00258994	-0.00209268	
0.427226	0.00258994	-0.00209268	
0.427226	0.00258994	-0.00209268	
0.42778	0.00258994	-0.00209268	
0.428058	0.00258994	-0.00209268	
0.429445	0.00258994	-0.00209268	
0.429692	0.00258994	-0.00209268	
0.43	0.00258994	-0.00209268	
0.43	0.00258994	-0.00209268	
0.43	0.00258994	-0.00209268	
0.432	0.00258994	-0.00209268	
0.433	0.00258994	-0.00209268	
0.438	0.00258994	-0.00209268	
0.438889	0.00258994	-0.00209268	
0.44	0.00258994	-0.00209268	
0.44	0.00258994	-0.00209268	
0.44	0.00258994	-0.00209268	
0.442	0.00258994	-0.00209268	
0.443	0.00258994	-0.00209268	
0.448	0.00258994	-0.00209268	
0.448889	0.00258994	-0.00209268	
0.45	0.00258994	-0.00209268	
0.45	0.00258994	-0.00209268	
0.441445	0.00258994	-0.00209268	
0.442168	0.00258994	-0.00209268	
0.445782	0.00258994	-0.00209268	
0.446424	0.00258994	-0.00209268	
0.447227	0.00258994	-0.00209268	
0.447227	0.00258994	-0.00209268	
0.447227	0.00258994	-0.00209268	
0.447782	0.00258994	-0.00209268	
0.448059	0.00258994	-0.00209268	
0.449445	0.00258994	-0.00209268	
0.449692	0.00258994	-0.00209268	
0.45	0.00258994	-0.00209268	
0.45	0.00258994	-0.00209268	
0.45	0.00258994	-0.00209268	
0.452	0.00258994	-0.00209268	
0.453	0.00258994	-0.00209268	
0.458	0.00258994	-0.00209268	
0.458889	0.00258994	-0.00209268	
0.46	0.00258994	-0.00209268	
0.46	0.00258994	-0.00209269	
0.46	0.00258994	-0.00209269	
0.462	0.00258994	-0.00209269	
0.463	0.00258994	-0.00209269	
0.468	0.00258994	-0.00209269	
0.468889	0.00258994	-0.00209269	
0.47	0.00258994	-0.00209269	
0.47	0.00258995	-0.00209269	
0.461445	0.00258994	-0.00209269	
0.462168	0.00258994	-0.00209269	
0.465781	0.00258994	-0.00209269	
0.466423	0.00258994	-0.00209269	
0.467226	0.00258994	-0.00209269	
0.467226	0.00258994	-0.00209269	
0.467226	0.00258994	-0.00209269	
0.467781	0.00258994	-0.00209269	
0.468058	0.00258994	-0.00209269	
0.469445	0.00258994	-0.00209269	
0.469692	0.00258994	-0.00209269	
0.47	0.00258994	-0.00209269	
0.47	0.00258994	-0.00209269	
0.47	0.00258994	-0.00209269	
0.472	0.00258995	-0.00209269	
0.473	0.00258995	-0.00209269	
0.478	0.00258995	-0.00209269	
0.478889	0.00258995	-0.00209269	
0.48	0.00258995	-0.00209269	
0.48	0.00258995	-0.00209269	
0.48	0.00258995	-0.00209269	
0.482	0.00258995	-0.00209269	
0.483	0.00258995	-0.00209269	
0.488	0.00258995	-0.00209269	
0.488889	0.00258995	-0.00209269	
0.49	0.00258995	-0.00209269	
0.49	0.00258995	-0.00209269	
0.481445	0.00258995	-0.00209269	
0.482168	0.00258995	-0.00209269	
0.485781	0.00258995	-0.00209269	
0.486424	0.00258995	-0.00209269	
0.487227	0.00258995	-0.00209269	
0.487227	0.00258995	-0.00209269	
0.487227	0.00258995	-0.00209269	
0.487781	0.00258995	-0.00209269	
0.488059	0.00258995	-0.00209269	
0.489445	0.00258995	-0.00209269	
0.489692	0.00258995	-0.00209269	
0.49	0.00258995	-0.00209269	
0.49	0.00258995	-0.00209269	
0.49	0.00258995	-0.00209269	
0.492	0.00258995	-0.00209269	
0.493	0.00258995	-0.00209269	
0.498	0.00258995	-0.00209269	
0.498889	0.00258995	-0.00209269	
0.5	0.00258995	-0.00209269	
0.5	0.00258995	-0.00209269	
0.5	0.00258995	-0.00209269	
0.502	0.00258995	-0.00209269	
0.503	0.00258995	-0.00209269	
0.508	0.00258995	-0.00209269	
0.508889	0.00258995	-0.00209269	
0.51	0.00258995	-0.00209269	
0.51	0.00258996	-0.00209269	
0.501445	0.00258995	-0.00209269	
0.502168	0.00258995	-0.00209269	
0.505781	0.00258995	-0.00209269	
0.506423	0.00258995	-0.00209269	
0.507226	0.00258995	-0.00209269	
0.507226	0.00258996	-0.00209269	
0.507226	0.00258996	-0.00209269	
0.507781	0.00258996	-0.00209269	
0.508058	0.00258996	-0.00209269	
0.509445	0.00258996	-0.00209269	
0.509692	0.00258996	-0.00209269	
0.51	0.00258996	-0.00209269	
0.51	0.00258996	-0.00209269	
0.51	0.00258996	-0.00209269	
0.512	0.00258996	-0.00209269	
0.513	0.00258996	-0.00209269	
0.518	0.00258996	-0.00209269	
0.518889	0.00258996	-0.00209269	
0.52	0.00258996	-0.00209269	
0.52	0.00258996	-0.00209269	
0.52	0.00258996	-0.00209269	
0.522	0.00258996	-0.00209269	
0.523	0.00258996	-0.00209269	
0.528	0.00258996	-0.00209269	
0.528889	0.00258996	-0.00209269	
0.53	0.00258996	-0.00209269	
0.53	0.00258996	-0.00209269	
0.521445	0.00258996	-0.00209269	
0.522168	0.00258996	-0.00209269	
0.525781	0.00258996	-0.00209269	
0.526424	0.00258996	-0.00209269	
0.527227	0.00258996	-0.00209269	
0.527227	0.00258996	-0.00209269	
0.527227	0.00258996	-0.00209269	
0.527781	0.00258996	-0.00209269	
0.528059	0.00258996	-0.00209269	
0.529445	0.00258996	-0.00209269	
0.529692	0.00258996	-0.00209269	
0.53	0.00258996	-0.00209269	
0.53	0.00258996	-0.00209269	
0.53	0.00258996	-0.00209269	
0.532	0.00258997	-0.0020927	
0.533	0.00258997	-0.0020927	
0.538	0.00258997	-0.0020927	
0.538889	0.00258997	-0.0020927	
0.54	0.00258997	-0.0020927	
0.54	0.00258997	-0.0020927	
0.54	0.00258997	-0.0020927	
0.542	0.00258997	-0.0020927	
0.543	0.00258997	-0.0020927	
0.548	0.00258997	-0.0020927	
0.548889	0.00258997	-0.0020927	
0.55	0.00258997	-0.0020927	
0.55	0.00258997	-0.0020927	
0.541445	0.00258997	-0.0020927	
0.542168	0.00258997	-0.0020927	
0.545781	0.00258997	-0.0020927	
0.546423	0.00258997	-0.0020927	
0.547226	0.00258997	-0.0020927	
0.547226	0.00258997	-0.0020927	
0.547226	0.00258997	-0.0020927	
0.547781	0.00258997	-0.0020927	
0.548058	0.00258997	-0.0020927	
0.549445	0.00258997	-0.0020927	
0.549692	0.00258997	-0.0020927	
0.55	0.00258997	-0.0020927	
0.55	0.00258997	-0.0020927	
0.55	0.00258997	-0.0020927	
0.552	0.00258998	-0.0020927	
0.553	0.00258998	-0.0020927	
0.558	0.00258998	-0.0020927	
0.558889	0.00258998	-0.0020927	
0.56	0.00258998	-0.0020927	
0.56	0.00258998	-0.0020927	
0.56	0.00258998	-0.0020927	
0.562	0.00258998	-0.0020927	
