t	a1	a2	da1	da2	
0.39	0.0179783	-0.0178491	0.0785148	-0.0720732	
0.39	0.0179782	-0.0178494	0.0785118	-0.0720732	
0.392	0.0181353	-0.0179935	0.0786482	-0.0720793	
0.393	0.0182141	-0.0180656	0.0787169	-0.0720772	
0.398	0.0186085	-0.0184259	0.0790562	-0.0720611	
0.398889	0.0186789	-0.0184898	0.0791131	-0.0720553	
0.4	0.0187668	-0.0185698	0.0791894	-0.0720467	
0.4	0.0187668	-0.0185701	0.0791936	-0.0720468	
0.402	0.0189251	-0.0187142	0.0793286	-0.0720301	
0.403	0.0190046	-0.0187862	0.0793948	-0.0720166	
0.408	0.0194024	-0.019146	0.0797169	-0.0719434	
0.408889	0.0194733	-0.0192098	0.0797663	-0.0719274	
0.41	0.019562	-0.0192897	0.079837	-0.0719062	
0.41	0.019562	-0.0192899	0.0798462	-0.0719062	
0.412	0.0197217	-0.0194337	0.0799706	-0.0718667	
0.413	0.0198018	-0.0195056	0.0800292	-0.0718418	
0.418	0.0202026	-0.0198644	0.0803106	-0.0717115	
0.418889	0.020274	-0.0199279	0.0803504	-0.0716854	
0.42	0.0203633	-0.0200076	0.0804098	-0.0716514	
0.42	0.0203634	-0.0200078	0.0804209	-0.0716514	
0.422	0.0205243	-0.0201511	0.0805248	-0.0715891	
0.423	0.0206049	-0.0202226	0.0805712	-0.0715527	
0.428	0.0210083	-0.0205799	0.0807907	-0.0713655	
0.428889	0.0210799	-0.0206431	0.0808194	-0.0713292	
0.43	0.0211698	-0.0207223	0.0808629	-0.0712826	
0.43	0.02117	-0.0207226	0.0808728	-0.0712825	
0.432	0.0213318	-0.0208652	0.0809486	-0.0711974	
0.433	0.0214128	-0.0209362	0.0809795	-0.0711497	
0.438	0.021818	-0.0212913	0.0811231	-0.0709055	
0.438889	0.0218898	-0.0213541	0.0811402	-0.0708592	
0.44	0.0219801	-0.0214328	0.0811653	-0.0708	
0.44	0.0219804	-0.0214331	0.0811718	-0.0707999	
0.442	0.0221427	-0.0215747	0.0812152	-0.0706921	
0.443	0.022224	-0.0216452	0.0812295	-0.070633	
0.448	0.0226302	-0.0219976	0.0812926	-0.0703325	
0.448889	0.0227022	-0.0220599	0.0812985	-0.0702762	
0.45	0.0227925	-0.022138	0.0813051	-0.0702045	
0.45	0.0227929	-0.0221382	0.081307	-0.0702043	
0.452	0.0229555	-0.0222786	0.081318	-0.0700739	
0.453	0.0230368	-0.0223485	0.0813165	-0.0700037	
0.458	0.0234433	-0.0226976	0.0813038	-0.0696472	
0.458889	0.0235153	-0.0227593	0.0812995	-0.0695811	
0.46	0.0236056	-0.0228366	0.0812897	-0.069497	
0.46	0.023606	-0.0228368	0.0812873	-0.0694968	
0.462	0.0237686	-0.0229758	0.0812692	-0.0693441	
0.463	0.0238498	-0.023045	0.0812541	-0.0692629	
0.468	0.0242558	-0.0233902	0.0811767	-0.0688512	
0.468889	0.0243277	-0.0234512	0.0811636	-0.0687753	
0.47	0.0244179	-0.0235275	0.0811404	-0.068679	
0.47	0.0244182	-0.0235278	0.081135	-0.0686787	
0.472	0.0245805	-0.0236651	0.0810932	-0.0685041	
0.473	0.0246615	-0.0237334	0.0810676	-0.0684119	
0.478	0.0250664	-0.0240742	0.0809393	-0.0679458	
0.478889	0.0251382	-0.0241344	0.0809186	-0.0678603	
0.48	0.0252281	-0.0242098	0.0808854	-0.067752	
0.48	0.0252283	-0.02421	0.0808789	-0.0677516	
0.482	0.0253901	-0.0243455	0.0808191	-0.0675554	
0.483	0.0254708	-0.0244128	0.0807858	-0.0674525	
0.488	0.0258743	-0.0247487	0.0806191	-0.0669328	
0.488889	0.0259458	-0.024808	0.0805917	-0.0668379	
0.49	0.0260353	-0.0248822	0.0805512	-0.0667177	
0.49	0.0260355	-0.0248824	0.0805453	-0.0667174	
0.492	0.0261966	-0.0250159	0.0804723	-0.0664999	
0.493	0.026277	-0.0250821	0.0804331	-0.0663864	
0.498	0.0266786	-0.0254125	0.0802365	-0.0658141	
0.498889	0.0267498	-0.0254708	0.0802026	-0.0657099	
0.5	0.0268389	-0.0255438	0.0801563	-0.0655781	
0.5	0.0268391	-0.025544	0.0801525	-0.0655777	
0.502	0.0269994	-0.0256752	0.0800686	-0.0653393	
0.503	0.0270793	-0.0257402	0.0800243	-0.0652155	
0.508	0.0274789	-0.0260647	0.0798004	-0.0645915	
0.508889	0.0275497	-0.0261219	0.0797599	-0.0644781	
0.51	0.0276383	-0.0261934	0.0797079	-0.0643349	
0.51	0.0276384	-0.0261937	0.0797068	-0.0643345	
0.512	0.0277978	-0.0263223	0.0796122	-0.0640757	
0.513	0.0278773	-0.0263861	0.0795623	-0.0639417	
0.518	0.0282744	-0.026704	0.0793087	-0.0632669	
0.518889	0.0283448	-0.0267601	0.0792609	-0.0631446	
0.52	0.0284329	-0.0268301	0.0792022	-0.0629902	
0.52	0.028433	-0.0268304	0.0792035	-0.0629898	
0.522	0.0285914	-0.0269563	0.0790963	-0.0627108	
0.523	0.0286704	-0.0270187	0.0790396	-0.0625669	
0.528	0.0290648	-0.0273297	0.0787499	-0.0618424	
0.528889	0.0291347	-0.0273844	0.0786942	-0.0617113	
0.53	0.0292221	-0.0274529	0.0786268	-0.061546	
0.53	0.0292222	-0.0274531	0.0786299	-0.0615455	
0.532	0.0293795	-0.0275762	0.0785071	-0.0612469	
0.533	0.0294578	-0.0276371	0.0784417	-0.0610932	
0.538	0.0298492	-0.0279406	0.0781082	-0.0603201	
0.538889	0.0299184	-0.027994	0.078044	-0.0601805	
0.54	0.0300051	-0.0280607	0.0779662	-0.0600045	
0.54	0.0300053	-0.0280609	0.0779698	-0.060004	
0.542	0.0301613	-0.028181	0.0778281	-0.0596861	
0.543	0.0302389	-0.0282402	0.0777527	-0.0595229	
0.548	0.0306266	-0.0285357	0.0773685	-0.0587024	
0.548889	0.0306952	-0.0285877	0.0772953	-0.0585545	
0.55	0.0307811	-0.0286527	0.0772055	-0.058368	
0.55	0.0307813	-0.0286529	0.0772087	-0.0583675	
0.552	0.0309357	-0.0287696	0.0770457	-0.0580308	
0.553	0.0310126	-0.0288272	0.0769592	-0.0578584	
0.558	0.0313962	-0.0291143	0.07652	-0.0569918	
0.558889	0.031464	-0.0291647	0.0764376	-0.0568357	
0.56	0.0315489	-0.0292278	0.0763352	-0.0566391	
0.56	0.0315491	-0.029228	0.0763372	-0.0566386	
0.562	0.0317018	-0.0293413	0.0761515	-0.0562837	
0.563	0.0317777	-0.0293971	0.0760536	-0.0561023	
0.568	0.0321567	-0.0296753	0.0755584	-0.055191	
0.568889	0.0322236	-0.0297241	0.0754673	-0.055027	
0.57	0.0323074	-0.0297852	0.0753522	-0.0548206	
0.57	0.0323077	-0.0297854	0.0753526	-0.05482	
0.572	0.0324584	-0.029895	0.0751446	-0.0544475	
0.573	0.0325332	-0.029949	0.0750357	-0.0542574	
0.578	0.032907	-0.0302178	0.0744868	-0.0533028	
0.578889	0.032973	-0.030265	0.0743874	-0.0531313	
0.58	0.0330556	-0.0303239	0.0742605	-0.0529154	
0.58	0.0330558	-0.0303241	0.0742594	-0.0529148	
0.582	0.0332043	-0.0304299	0.0740305	-0.0525252	
0.583	0.0332781	-0.030482	0.0739115	-0.0523267	
0.588	0.0336461	-0.0307411	0.0733136	-0.0513305	
0.588889	0.033711	-0.0307865	0.0732063	-0.0511517	
0.59	0.0337923	-0.0308432	0.073069	-0.0509266	
0.59	0.0337925	-0.0308434	0.0730668	-0.050926	
0.592	0.0339386	-0.0309452	0.0728191	-0.0505201	
0.593	0.0340112	-0.0309952	0.0726913	-0.0503135	
0.598	0.0343729	-0.0312442	0.0720497	-0.0492772	
0.598889	0.0344368	-0.0312878	0.0719353	-0.0490914	
0.6	0.0345166	-0.0313422	0.0717888	-0.0488576	
0.6	0.0345168	-0.0313424	0.0717862	-0.0488569	
0.602	0.0346604	-0.0314401	0.071522	-0.0484353	
0.603	0.0347316	-0.031488	0.0713864	-0.0482211	
0.608	0.0350868	-0.0317263	0.0707063	-0.0471464	
0.608889	0.0351495	-0.031768	0.0705851	-0.0469539	
0.61	0.0352278	-0.0318201	0.0704305	-0.0467118	
0.61	0.035228	-0.0318203	0.0704282	-0.046711	
0.612	0.0353688	-0.0319137	0.0701494	-0.0462744	
0.613	0.0354386	-0.0319594	0.0700069	-0.0460528	
0.618	0.0357868	-0.0321868	0.0692919	-0.0449416	
0.618889	0.0358483	-0.0322266	0.0691641	-0.0447427	
0.62	0.035925	-0.0322762	0.0690022	-0.0444925	
0.62	0.0359252	-0.0322763	0.0690005	-0.0444918	
0.622	0.0360632	-0.0323653	0.0687083	-0.0440408	
0.623	0.0361315	-0.0324088	0.0685593	-0.0438122	
0.628	0.0364724	-0.0326249	0.0678111	-0.0426662	
0.628889	0.0365325	-0.0326627	0.0676768	-0.0424612	
0.63	0.0366076	-0.0327097	0.0675077	-0.0422035	
0.63	0.0366078	-0.0327099	0.067507	-0.0422027	
0.632	0.0367428	-0.0327943	0.0672018	-0.0417382	
0.633	0.0368096	-0.0328354	0.0670462	-0.0415029	
0.638	0.0371428	-0.0330399	0.0662647	-0.0403239	
0.638889	0.0372016	-0.0330756	0.0661239	-0.0401132	
0.64	0.037275	-0.03312	0.0659474	-0.0398483	
0.64	0.0372751	-0.0331202	0.0659476	-0.0398475	
0.642	0.037407	-0.0331999	0.0656289	-0.0393701	
0.643	0.0374722	-0.0332386	0.0654665	-0.0391286	
0.648	0.0377975	-0.0334312	0.0646504	-0.0379185	
0.648889	0.0378548	-0.0334647	0.064503	-0.0377024	
0.65	0.0379264	-0.0335065	0.0643186	-0.0374307	
